FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (ENGLISH)]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_8pshh05x7awu6vbx	For a few years, the Red Cross has been organising some trips to first aid stations in the region of Nairobi to bring some medicine. These trips can be hazardous, especially near the village of Ramatowa who is often at war with the neighboring village of Pazimanga.	"For a few years, the Red Cross has been organising some trips to first aid stations in the region of Nairobi to bring some medicine.
These trips can be hazardous, especially near the village of Ramatowa who is often at war with the neighboring village of Pazimanga."	APPRENANT		
tm_h8nmxqv19ldt9w6x		And that particular village is on the other side of the river from the preceding first aid station (Bamalowi). The Red Cross's truck need to drive up the river to the next bridge which is 19 miles North, and go down the river to Ramatowa. Once the drugs are distributed, the truck comes back to the bridge 30km to the North, and continues his journey West.	APPRENANT		
tm_bvbli8psn9emqnwh		This year, the local director of the Red Cross, Hubert Gramont, is asking himself how to optimize this journey, looking to reduce aggression risks and to avoid this long way around the river. The solution he retained would be to use a few drones able to lift one or two kilos and go accross the river with drugs. The members of the Ramatowa center could go pick up the medicines on the other side. He wants to put Isabelle Boucicaut on charge of the project, as she knows well the topology of the place and the inhabitants of every village, and she has the largest experience on the conduct of humanitarian projects.	APPRENANT		
tm_bty7ecxt7x6nh44d		According to you, are Hubert's points sufficients ? Is Isabelle wrong for arguing there ?	APPRENANT		
tm_4tcdn1xw7otjl43c	In every project, a cost/benefit study needs to be seriously made. Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy.	"In every project, a cost/benefit study needs to be seriously made.

Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy."	APPRENANT		
tm_6hugeluxlg0tfktv	All of that is explained in the Project Management classes you will follow in your first and second year.	All of that is explained in the <b>Project Management</b> classes you will follow in your first and second year.	APPRENANT		
tm_cl1p6mj12o9tvp7y	In every project, a cost/benefit study needs to be seriously made. Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy.	"In every project, a cost/benefit study needs to be seriously made.

Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy."	APPRENANT		
tm_x55ewcgg9frwtd6l		Here, Isabelle took the time to study the benefits and costs linked to the strategic goals of the association !	APPRENANT		
tm_7n0uuz3giqy28m05		Can the project start like that ? Do we have enough data to go ahead ?	APPRENANT		
tm_nxdbb9gss1cqojcd	We have to go through a new go/no-go step to get more precise border, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and to getan initial planification who identifies the expected deliverables, and the required activities to  produce them. For each activity, we also need to identify the required human resources and their availability. We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case.	"We have to go through a new go/no-go step to get more precise borders, some clear objectives and success criteria, consulting all involved parties, defined constraints and major risks, and an initial planification who identifies the expected deliverables, and the required activities to  produce them.

For each activity, we also need to identify the required human resources and their availability.

We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case."	APPRENANT		
tm_55fco564okz8eru7	These aspects will be developed in the Project Management class of your first year.	These aspects will be developed in the <b>Project Management</b> class of your first year.	APPRENANT		
tm_c7eu8vse2e1ekwfg		Hubert's reaction seems justified : three weeks to produce some paperwork, is it really necessary ?	APPRENANT		
tm_igybkphf79jvvciy	The initial planification phase is often overlooked. It is nevertheless essential. It can make you win a lot of time down the road. It allows you to aim for some reachable objectives, to identify clearly what's every person's role, and their level of involvement about the project. It also identifies the difficult parts early on, and the major risks too. Involving an engineer very early is also necessary, because he will be the one giving the best estimations on what is doable or not, and on the time necessary to realize the technical parts.	"The initial planification phase is often overlooked. It is nevertheless essential.

It can make you win a lot of time down the road. It allows you to aim for some reachable objectives, to identify clearly what's every person's role, and their level of involvement about the project. 

It also identifies the difficult parts early on, and the major risks too. Involving an engineer very early is also necessary, because he will be the one giving the best estimations on what is doable or not, and on the time necessary to realize the technical parts."	APPRENANT		
tm_348tsqtyururqyg5	There Isabelle makes the magic triangle of the project management appear : costs, quality, delays. A project manager always juggles with these three variables. If they change one of them, it generally impacts one or the other of these variables. For example,  reducing the delays could impact the quality of service and the cost. We could for exemple pay more to have everyone working at the same time to finish earlier...	"There Isabelle makes the magic triangle of the project management appear : 
* <b>costs</b>
* <b>quality</b>
* <b>delays</b>

A project manager always juggles with these three variables. If they change one of them, it generally impacts one or the other of these variables. 

For example,  reducing the delays could impact the quality of service and the cost. We could for exemple pay more to have everyone working at the same time to finish earlier..."	APPRENANT		
tm_e5kzts11lnmdvrlr	The initial planification phase is often overlooked. It is nevertheless essential. It can make you win a lot of time down the road. It allows you to aim for some reachable objectives, to identify clearly what's every person's role, and their level of involvement about the project. It also identifies the difficult parts early on, and the major risks too. Involving an engineer very early is also necessary, because he will be the one giving the best estimations on what is doable or not, and on the time necessary to realize the technical parts.	"The initial planification phase is often overlooked. It is nevertheless essential.

It can make you win a lot of time down the road. It allows you to aim for some reachable objectives, to identify clearly what's every person's role, and their level of involvement about the project. 

It also identifies the difficult parts early on, and the major risks too. Involving an engineer very early is also necessary, because he will be the one giving the best estimations on what is doable or not, and on the time necessary to realize the technical parts."	APPRENANT		
tm_a99thttyaweswz8e	We have to go through a new go/no-go step to get more precise border, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and to getan initial planification who identifies the expected deliverables, and the required activities to  produce them. For each activity, we also need to identify the required human resources and their availability. We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case.	"We have to go through a new go/no-go step to get more precise borders, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and an initial planification who identifies the expected deliverables, and the required activities to  produce them.

For each activity, we also need to identify the required human resources and their availability.

We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case."	APPRENANT		
tm_ntn313vkgcfgwzzy		Can the project start like that ? Do we have enough data to go ahead ?	APPRENANT		
tm_0s5iwqabgr0bfsew	We have to go through a new go/no-go step to get more precise border, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and to getan initial planification who identifies the expected deliverables, and the required activities to  produce them. For each activity, we also need to identify the required human resources and their availability. We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case. This aspects will be developed in the project management class of your first year.	"We have to go through a new go/no-go step to get more precise borders, some clear objectives and success criteria, consulting all involved parties, defined constraints and major risks, and an initial planification who identifies the expected deliverables, and the required activities to  produce them.

For each activity, we also need to identify the required human resources and their availability.

We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case.

This aspects will be developed in the <b>Project Management</b> class of your first year."	APPRENANT		
tm_accx1v43eg8e44im	We have to go through a new go/no-go step to get more precise border, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and to getan initial planification who identifies the expected deliverables, and the required activities to  produce them. For each activity, we also need to identify the required human resources and their availability. We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case. This aspects will be developed in the project management class of your first year.	"We have to go through a new go/no-go step to get more precise borders, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and an initial planification who identifies the expected deliverables, and the required activities to  produce them.

For each activity, we also need to identify the required human resources and their availability.

We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case.

This aspects will be developed in the <b>Project Management</b> class of your first year."	APPRENANT		
tm_l8pqm704g432syax	As a good team manager, Isabelle is making sure of two things : the availability and the motivation of her team. As for qualification, she already knows that Marc is the best engineer in the association.	"As a good team manager, Isabelle is making sure of two things :
* the <b>Availability</b> and
* the <b>Motivation</b> of her team.

As for qualification, she already knows that Marc is the best engineer in the association."	APPRENANT		
tm_yk3uwcjjczjgg52e		Does Marc have enough information to define all the technicall requirements of the system ?	APPRENANT		
tm_fjr83vf4s4m6rs7i	A functionnal analysis isn't sufficient to build a complete set of requirements. For that, it's necessary to complete it by an analysis centered around the users who will ask some other functions an engineer maybe wouldn't think about during his analysis.	"A functionnal analysis isn't sufficient to build a complete set of requirements. 

For that, it's necessary to complete it by an analysis centered around the users who will ask some other functions an engineer maybe wouldn't think about during his analysis."	APPRENANT		
tm_f7iskbxx6ko9gto1	This way of elaborating a specification sheet is studied in detail in the Requirements Engineering class of your first year.	This way of elaborating a specification sheet is studied in detail in the <b>Requirements Engineering</b> class of your first year.	APPRENANT		
