FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (ENGLISH)]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_m1rovwlvkvfru350		Oh yes, I see.	Isabelle		
tm_1ggmq07a0j9me108		It's a shame there's no bridge closer !	Isabelle		
tm_ihhkffd5knflmlbm			Isabelle		
tm_jm7kyh5hdal998kk		Yes, the idea is interesting. But maybe, we should study a bit more closely the costs, and hoped benefits of such an operation ?	Isabelle		
tm_ji6toe2v231n6are		Yeah, you're probably right.	Isabelle		
tm_xvw2hvo8054mp24z		Allow me to insist. I'll look more closely at your idea.	Isabelle		
tm_nj0q5y8oxpzpl2m7		This could work. Let's say Wednesday, after the team briefing ?	Isabelle		
tm_21wqgd00wt4ntbza		Have a nice day too !	Isabelle		
tm_5d2jgott7qo4nvjf		I thougt about your idea.	Isabelle		
tm_hb49xuxp2jmllz59		And I have a better idea of what we could hope to achieve.	Isabelle		
tm_bdxwdpi9oz3ce2d2		In the costs, you seem to have forgotten about the batteries to charge and the time it will take to go accross the river with 16lbs of medicines.	Isabelle		
tm_i5khbj6vkl61300d		If every drone can carry 4lbs, you'll need to send them twice. So it will still take around 20 minutes, mostly to load and unload them.	Isabelle		
tm_m44kqc5ivyx1i1j3		So the benefit in time and cost will be less important.	Isabelle		
tm_j9zdghbl5w76sv00		Yes, but the development costs will probably be a bit higher, because we want to build our own drones to be able to repair them easily, and as rarely as possible.	Isabelle		
tm_os94gwg1zloi1ulm		And we will probably need a spare drone. We will also have to train the guys who do the runs.	Isabelle		
tm_v9s9w6uazy90f9e1		In a nutshell, I think we need to reevaluate the budget to at least 4 000 €, as indicated in the documents I printed you.	Isabelle		
tm_5dom4v1gom162o7w		So don't expect a break-even before five or six years.	Isabelle		
tm_w3r4tvl9b4rzu64k		Anyway, the financial benefit shouldn't be our priority.	Isabelle		
tm_vx19wlzbis9ppy09		On the other hand, a benefit we didn't talk about, and seems important to me because it's linked to our values is the welfare of our personnel.	Isabelle		
tm_b6ze0c3qq3omo6z0		This journey is very tiring, and every time everyone comes back exhausted.	Isabelle		
tm_be90wkgvch92cmgl		If we could avoid 2 hours of poor track, this would be an important benefit !	Isabelle		
tm_ltrrj9n1ggrfp7av		And there's the ecological aspect too : burning less fossil fuels is one of our engagements.	Isabelle		
tm_jdeyvdtc1jczpd7y		Sorry to curb your enthousiasm Hubert, I have a job to do.	Isabelle		
tm_kray55a7gryuiyio		Before starting, I also have a mission and a journey to Pali Wani to plan.	Isabelle		
tm_dy3lh5o9nty0epg1		OK, but before starting, I'll have to make a more precise planification for the project, with clear goals and limits.	Isabelle		
tm_01i5cc9v5da0bixa		Then, you could decide if we go forward or not.	Isabelle		
tm_xvysfzrnjww3mwzf		And in the case we proceed forward, you'll need to name me responsible for that project so that everyone understands more clearly what's my role.	Isabelle		
tm_u2tjdvwu0ttn3g87		Moreover, I'd like to ask our system's engineer Marc Aurile to participate as soon as possible so that he could help me in the planification of the project.	Isabelle		
tm_h0zvz2snesdz3v4l		I was thinking about it, but Marc Aurile will do just fine.	Isabelle		
tm_1vsls6at6luvzkw2		Three weeks.	Isabelle		
tm_0dv8facxttk5468p		Yes, I really need that much time. I'm not an expert in drones, and Marc will have to  invest himself there.	Isabelle		
tm_b70gjg8rplobpdzq		And what will we include in this project ? Should we train two or three pilots ? Should the drones really carry every type of drugs ? I should also study the major risks linked to our project. What could prevent us from meeting the deadlines ?	Isabelle		
tm_6lns5mmiv10jluep		From staying in the allotted budget ? What could impact the quality of the service we try to put in place ?	Isabelle		
tm_tkprvv6ce8tx0kcq		I maintain that. You think I'm losing some time, but you'll see that it'll pay off on the long run.	Isabelle		
tm_1syz3og4grjf2x7w		Oh, hi Marc ! Hubert probably talked to you about the drone project to carry the drugs from Bamalowi to Ramatowa ?	Isabelle		
tm_0idu5l5uge9hsct8		Yes, I agree, but I think it's achievable.	Isabelle		
tm_m8qdmxaf610hbokv		What do you think about it ?	Isabelle		
tm_796ctu3zzecl35k6		And for that part, I'm counting on you ! And I suggest we share the starting activities on the specifications.	Isabelle		
tm_zet6h68og6v7cx9l		Is this compatible with your workload, and are you motivated by that project ?	Isabelle		
tm_lphgkth2zjsjz65l		Great, in this case, I'm suggesting you start the function analysis to define the main functions, and anticipate the biggest technical problems and what will cost the most.	Isabelle		
tm_qq2sulp0txy8s14w		On my side, I'll try to see what the need is, and ask the other involved parties : the guys in the villages and the guys who do the run.	Isabelle		
tm_aeqg4g6vd5uaan7b		The date is April 27th.	Isabelle		
tm_no3yu1ix2mzb8lgc		Why not we see each other monday May 10th morning in my office at 9 ?	Isabelle		
tm_5u4e8rdig367ysyp		What about 2PM ?	Isabelle		
tm_medlm5vl4kg1znyo		Thanks Marc ! Have a nice day !	Isabelle		
tm_1yely4z56511i9lv		Hi Nurumbé ! How are you ?	Isabelle		
tm_41vq0dyuk68uynqc		I'm delighted to hear that.	Isabelle		
tm_jodzt98a11jlr3jl		That's quite true.	Isabelle		
tm_9ktzrkb82jpwlorg		I'm here to discuss another way of making these journeys.	Isabelle		
