FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (ENGLISH)]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_ey24jrbkfsv7oge8		Yes, it's a very original idea. It doesn't surprise me from Hubert.	Marc		
tm_surarrnstpkhn88z		He is always trying to find ideas to better the way we do our runs.	Marc		
tm_fwu18m465kz3z8ck		But that time, it sure is original !	Marc		
tm_uhou15z01gb7zfov		Yes, we can do everything if we have the means.	Marc		
tm_2nhzrhsvzhuzngcu		And if we apply the right engineering principles to build that new system !	Marc		
tm_j1jzaowvjr5xq3eh		I'm not available this week.	Marc		
tm_xlycpf1042ddtn9u		But I have three free days next week.	Marc		
tm_siyqvsiksvpefvbs		And yes, I'm eager to participate in the development of a drone to serve the people !	Marc		
tm_globk1kfojzh73z6		Monday morning, I have a team reunion.	Marc		
tm_yaflwo7bqtuxal5c		But I'm OK for the afternoon.	Marc		
tm_y7miusnjd698ite5		OK for me !	Marc		
tm_v4qaylbohlht85ii		Thank you, have a good day too !	Marc		
tm_b18s16oyuwskcdi4		So let's go. First of all, we need to set the limits of our system.	Marc		
tm_8mfewpn3gykq9m9k		What are the elements it is going to interact with ? What is its main mission ?	Marc		
tm_zgn6xneves8smg2z		Yes, it seems right, but I think we could be a bit more precise on the distance. I looked it up on Google maps.	Marc		
tm_eph5ztzl5xamizds		The river near Bamalowi half a mile. With safety margins, we could say 0.6 miles.	Marc		
tm_gk7gytvstm8fp5fa		You're 100% right. These two elements are essential to dimension the system.	Marc		
tm_yuin9uij2edgy63d		So let's say two pounds ?	Marc		
tm_e6axa099gxc1j2ey		So, our mission would be :	Marc		
tm_v6oqfyuw9wanh374	Airlift a two pounds pack of medicines over a distance of three fifth of a mile.	"<b>Airlift a two pounds pack of medicines over a distance of three fifth of a mile.""</b>"	Marc		
tm_kgtg7bc668b193fi		Is that OK with you ?	Marc		
tm_nr15bcldmt4xmmrd		Now let's address the limits of our system.	Marc		
tm_6mw90t5hkp2pgt41		With what and who is it going to interact ?	Marc		
tm_cz668fj0ycev99t1		This would allow us to define the principal functions and the constraints.	Marc		
tm_2ne8wde70aakwe53		Yes, but I doubt about the direct interaction with the pilot. We'll see this later.	Marc		
tm_vacn9ud3y44ri6hd		Yes, it seems a great idea.	Marc		
tm_zwbxezezkyhr7ne5		So I think we have all the actors who will interact with the system.	Marc		
tm_2ir0qujkvj7ssai8		Do you see any factors that will add constraints ?	Marc		
tm_z9rx99en6iqjpf23		Yes, we'll think about it. Anything else ?	Marc		
tm_l8sn3k6jil9oyxsc		We'll have to develop that in the safety study. I think we have more or less every actors. I'd add the landform of the take off fields.	Marc		
tm_fxwag987ngvh1kon		It plays an important role with ground/air interactions when the propellers start to lift the drone off the ground.	Marc		
tm_dck7mk1uamjvkieq		Let's get back to the actors and see how they interract with the system.	Marc		
tm_oi1dkow9sxbcxum7		Is this that obvious ? What would he need to guide the drone ?	Marc		
tm_k2wraqabecunt6ob		There's the problem !	Marc		
tm_m6ofuffwn5n45440		Should we consider the remote control in the system ? If so, yes, the pilot directly interracts with it.	Marc		
tm_xxaxrirbwf1gqsee		Or should we exclude the remote from the system, and then it would be the remote that guides the system, not the pilot !	Marc		
tm_h8gnezoyf6xfpdyy		Well, it's mainly linked with costs, competency, and flexibility with the pilot.	Marc		
tm_hqvyl2rpru442hgm		I do not want to be responsible for guiding the drone from the ground.	Marc		
tm_et88ram9d54phpxp		Today, we could find some cheap radio remotes ont the Internet, with an excellent reach.	Marc		
tm_dl33ii6yjhrca289		We don't really have the competencies to developp this thing, and it will definitely be more expensive to develop than to buy it. And the results won't be better.	Marc		
tm_r1r0kaz1ub9bz2ty		So we could consider that this element is out of the system and we subcontract it elsewhere.	Marc		
tm_avuikhybhwgypfxd		In that case, we become dependent on a external builder, but at least, the pilot could choose a remote and configure it as he pleases.	Marc		
tm_k9rv6ttpsrhde8y4		Nice point !	Marc		
tm_akvazm0c1abf0hqq		Luckily, today, the radio transmitters come with a little box to put in the drone.	Marc		
tm_3fxy5kkk2bnufzqd		We just have to choose which receptors to be compatible with, and the job is done !	Marc		
tm_ivvmhn2yg3hl0m8i		That's another good question Mathilde.	Marc		
tm_yi0c7sbwhwrebwmw		Our system will have to include a calibration function to adapt with the remote's frequency.	Marc		
tm_6xirmf35p59cn0lx		So we already two main functions for our system :	Marc		
tm_rjc16n1x42rxx09q	FP1 : Accept the guidance signals of the remote to move in the air like the pilot commands to do.	FP1 : <b>Accept the guidance signals of the remote to move in the air like the pilot commands to do.</b>	Marc		
tm_wgabtat370um1iba	FP2 : Calibrate the receptor on the the remote.	FP2 : <b>Calibrate the receptor on the the remote.</b>.	Marc		
tm_st6o4h4rc1zguw7j		Though FP2 looks moe like a constraint to me.	Marc		
tm_auw54g87li6ofhic		Because it only links the remote and the system.	Marc		
tm_susw5qe9yuhkohg6		And that's another constraint.	Marc		
tm_uzoypg6yx0epohr2		The sytem needs to be able to lift two pounds !	Marc		
tm_fp32rpon3d2bihpe		OK, that is a new main function. So we add :	Marc		
tm_s752aba7yxq0ttk1	FC2 : Lift and carry two pounds of medicines links the system and the medicines.	FC2 : <b>Lift and carry two pounds of medicines links the system and the medicines.</b>	Marc		
tm_6ymfgefm4l5ygp7n	FP2 : Attach strongly and easily 2 pounds of medicines links the the guy in charge and the medicines through the system.	FP2 : <b>Attach strongly and easily 2 pounds of medicines links the the guy in charge and the medicines through the system.</b>	Marc		
tm_bu44heucrktwbfbr		We could start to draw our octopus diagram.	Marc		
tm_ljk2ijrvq831dm7w		We defined two main functions and two constraint functions.	Marc		
tm_hjf9m6niriu4u7p5	The first main function is : Move through the air following the remote's orders.	"The first main function is : ""<b>Move through the air following the remote's orders</b>"""	Marc		
tm_aolynwy1f24r01yu	The second one is : Allow the guy in charge in the village to attach a medicine pack quickly and safely.	"The second one is : ""<b>Allow the guy in charge in the village to attach a medicine pack quickly and safely.</b>"""	Marc		
tm_777jq4eovtlsmy7o	"And we have two constraints : ""Be able to tune in to the remote's frequency"" and ""Be able to lift a two pounds pack""."	"And we have two constraints : ""<b>Be able to tune in to the remote's frequency</b>"" and ""<b>Be able to lift a two pounds pack</b>""."	Marc		
tm_r6wcks027d5732hu		We will add these three functions.	Marc		
tm_g6umqzxwhqk4vni7		Precision is a value critera for the FP1 function.	Marc		
tm_4eg03on0nfc47gnb		I will add it too.	Marc		
tm_7f42nk4sjoebfwi5		Any other point ?	Marc		
tm_kdoblejvg4ghg774		In this case, I'm back to my analysis.	Marc		
tm_m6c3aijdi2fkij68		Do you think we will need to run some safety studies ?	Marc		
tm_7u7nnzzwwiuzde7f		Yes, you're maybe right...	Marc		
tm_34adt9cct4rh0802		So let's forget about it.	Marc		
tm_4cv77sv5wtrsj56n		But please, allow me to do a short one.	Marc		
tm_q7ggaa0c8k5kytlq		The drone will cost us 500€, and if we can avoid amaging it with a small saftey analysis, I think it could be worth doing it.	Marc		
tm_bjhrivmkmaxgelxl		We will limit ourselves to the most critical elements.	Marc		
tm_ktjol3hwip9827hf		What do you tgink about this ?	Marc		
tm_evi5bwcy1p3ooe19		OK, I'm going ahaead with it.	Marc		
tm_8fjue8y0iqx8agay		So, we have identified some main functions and some constraints on our system.	Marc		
tm_nl8d1enog9zsmlsb		Now, let's try to focus on the safety analysis, and identify the actors that might interfere with it.	Marc		
tm_qivyh67gf12huste		The river was listed previously, and I think this is an idea worth considering.	Marc		
tm_mjxgaetwb2z3cnz9		Good point !	Marc		
tm_ous5bxcwfqx9y9xl		That adds two constraint functions.	Marc		
tm_8n1rdxe4q8iqyawo		Not all at the same time, please.	Marc		
tm_pni1nzwh02fwuol8	That add us two more constraints : Resist a 15 feet fall. and Be operationnal and finish the mission, even if the remote's signal is jammed.	"That add us two more constraints : ""<b>Resist a 15' fall.</b>"" and ""<b>Be operationnal and finish the mission, even if the remote's signal is jammed</b>"""	Marc		
tm_18al15a0lpuykm48	I will also add another constraint regarding the batteries : Manage the power level	"I will also add another constraint regarding the batteries : ""<b>Manage the power level</b>"""	Marc		
tm_kx4vn9gi3fidv7ib		It will be better if we don't fall on an empty battery in the middle of the river.	Marc		
tm_bonxsivczgy7pxz3		So, I think we can complete our octopus diagram.	Marc		
tm_tn8hsy95ovo8qqbp		Yes, we thought about several chains of events to prevent.	Marc		
tm_gdhcyzu8e3h0oi9g		But thinking about it, I was wondering if we should considering cybersecurity aspects ?	Marc		
tm_4cnfm25m3elaisc8		Why wouldn't it happen ?	Marc		
tm_ler5y7ya30vo477s		Yes, mostly to not have regret if an easily preventable attack happens.	Marc		
tm_0dgj4pu3deikfcc7		Of course, we didn't implement any protectionon the communications.	Marc		
tm_3k7bh5gb6v5eifg5		Not even some encryption of the command signal.	Marc		
tm_m2r5fbz9gzpcaubp		So any mildly competent pirate was able to take control of our drone.	Marc		
tm_7b1qyl0bn70dia33		I asked if I could do a cybersecurity analysis, but you refused categorically.	Marc		
tm_a7k5y9md5r5uxa1f		Yes, that's an interesting concept !	Marc		
tm_bcgepyo81u4si4ik		Interesting, interesting,...	Marc		
