FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (ENGLISH)]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_8pshh05x7awu6vbx	For a few years, the Red Cross has been organising some trips to first aid stations in the region of Nairobi to bring some medicine. These trips can be hazardous, especially near the village of Ramatowa who is often at war with the neighboring village of Pazimanga.	"For a few years, the Red Cross has been organising some trips to first aid stations in the region of Nairobi to bring some medicine.
These trips can be hazardous, especially near the village of Ramatowa who is often at war with the neighboring village of Pazimanga."	APPRENANT		
tm_h8nmxqv19ldt9w6x		And that particular village is on the other side of the river from the preceding first aid station (Bamalowi). The Red Cross's truck need to drive up the river to the next bridge which is 19 miles North, and go down the river to Ramatowa. Once the drugs are distributed, the truck comes back to the bridge 30km to the North, and continues his journey West.	APPRENANT		
tm_bvbli8psn9emqnwh		This year, the local director of the Red Cross, Hubert Gramont, is asking himself how to optimize this journey, looking to reduce aggression risks and to avoid this long way around the river. The solution he retained would be to use a few drones able to lift one or two kilos and go accross the river with drugs. The members of the Ramatowa center could go pick up the medicines on the other side. He wants to put Isabelle Boucicaut on charge of the project, as she knows well the topology of the place and the inhabitants of every village, and she has the largest experience on the conduct of humanitarian projects.	APPRENANT		
tm_r08tnwhvh7zdyrc1		Hi Isabelle ! Come have a seat.	Hubert		
tm_8gre4kvtx68uyvr8		I asked you to come here to put you in charge of a mission.	Hubert		
tm_0iz9d386lwju25kg	You know, that little village of Ramatowa, who forces us to make a 36 miles detour, because it is on the other side of the Bamalowi river ?	You know, that little village of Ramatowa who forces us to make a 36 miles detour because it is right accross Bamalowi's river ?	Hubert		
tm_m1rovwlvkvfru350		Oh yes, I see.	Isabelle		
tm_1ggmq07a0j9me108		It's a shame there's no bridge closer !	Isabelle		
tm_ihhkffd5knflmlbm			Isabelle		
tm_kw8v6qxjamy8iz92		Listen. I thought about it, and I think we could make the situation better.	Hubert		
tm_uxo40zqarf2qr40h	We just need one or two powerful enough drones, that could carry the medicines accross the river to Ramatowa.	We just need one or two powerful enough drones that could carry the medicines accross the river to Ramatowa.	Hubert		
tm_hcflw54q7u0t65f5		The guys from the station pick them on the other side, and that's it !	Hubert		
tm_vwg897irypadwy8r		Do you imagine the economy of fuel and time ?	Hubert		
tm_jm7kyh5hdal998kk		Yes, the idea is interesting. But maybe, we should study a bit more closely the costs, and hoped benefits of such an operation ?	Isabelle		
tm_y14j0y25cadef2hb	But Isabelle, the economy is evident ! The truck takes two hours to drive the 36 miles, because the road is really horrendous.	But Isabelle, the economy is evident ! The truck takes two hours to drive the 36 miles because the road is really horrendous.	Hubert		
tm_263scxnxazg6jev7		Moreover, it burns 4 gallons of fuel to drive that distance.	Hubert		
tm_4m5nlebk7yho4xqc		We do this trip 12 times a year.	Hubert		
tm_wjb7ihwj75622sc5		This avoids us 24 hours of travel and would spare 48 gallons each year. 48 gallons is not negligeable, and this would mean at least 2 000 € spared each year.	Hubert		
tm_nr1uvt4od3eei3br		If we build 2 drones for less than 2000€ each, we will break even in 2 years.	Hubert		
tm_ji6toe2v231n6are		Yeah, you're probably right.	Isabelle		
tm_bty7ecxt7x6nh44d		According to you, are Hubert's points sufficients ? Is Isabelle wrong for arguing there ?	APPRENANT		
tm_4tcdn1xw7otjl43c	In every project, a cost/benefit study needs to be seriously made. Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy.	"In every project, a cost/benefit study needs to be seriously made.

Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy."	APPRENANT		
tm_6hugeluxlg0tfktv	All of that is explained in the Project Management classes you will follow in your first and second year.	All of that is explained in the <b>Project Management</b> classes you will follow in your first and second year.	APPRENANT		
tm_xvw2hvo8054mp24z		Allow me to insist. I'll look more closely at your idea.	Isabelle		
tm_v86f0hfe3pdzbb4e		OK Isabelle, I recognize you were right. Let's meet in 2 days to talk about it ?	Hubert		
tm_nj0q5y8oxpzpl2m7		This could work. Let's say Wednesday, after the team briefing ?	Isabelle		
tm_56g57kv2764gvqbk		That alright for me. Have a nice day !	Hubert		
tm_21wqgd00wt4ntbza		Have a nice day too !	Isabelle		
tm_cl1p6mj12o9tvp7y	In every project, a cost/benefit study needs to be seriously made. Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy.	"In every project, a cost/benefit study needs to be seriously made.

Even if the direct benefits seem obvious at first glance, we need to evaluate precisely the costs and benefits, study the realisation strategies and the drawbacks. And never forget that benefits and drawbacks aren't always linked to money. They need to be linked with the company's strategy."	APPRENANT		
tm_5d2jgott7qo4nvjf		I thougt about your idea.	Isabelle		
tm_hb49xuxp2jmllz59		And I have a better idea of what we could hope to achieve.	Isabelle		
tm_bdxwdpi9oz3ce2d2		In the costs, you seem to have forgotten about the batteries to charge and the time it will take to go accross the river with 16lbs of medicines.	Isabelle		
tm_i5khbj6vkl61300d		If every drone can carry 4lbs, you'll need to send them twice. So it will still take around 20 minutes, mostly to load and unload them.	Isabelle		
tm_m44kqc5ivyx1i1j3		So the benefit in time and cost will be less important.	Isabelle		
tm_8mn7jnhl813mfhiy		You're right, I didn't think about all of that.	Hubert		
tm_0wp4l82kultm4ct2		Do you estimate the project is still relevant ?	Hubert		
tm_j9zdghbl5w76sv00		Yes, but the development costs will probably be a bit higher, because we want to build our own drones to be able to repair them easily, and as rarely as possible.	Isabelle		
tm_os94gwg1zloi1ulm		And we will probably need a spare drone. We will also have to train the guys who do the runs.	Isabelle		
tm_v9s9w6uazy90f9e1		In a nutshell, I think we need to reevaluate the budget to at least 4 000 €, as indicated in the documents I printed you.	Isabelle		
tm_5dom4v1gom162o7w		So don't expect a break-even before five or six years.	Isabelle		
tm_w3r4tvl9b4rzu64k		Anyway, the financial benefit shouldn't be our priority.	Isabelle		
tm_vx19wlzbis9ppy09		On the other hand, a benefit we didn't talk about, and seems important to me because it's linked to our values is the welfare of our personnel.	Isabelle		
tm_b6ze0c3qq3omo6z0		This journey is very tiring, and every time everyone comes back exhausted.	Isabelle		
tm_be90wkgvch92cmgl		If we could avoid 2 hours of poor track, this would be an important benefit !	Isabelle		
tm_ltrrj9n1ggrfp7av		And there's the ecological aspect too : burning less fossil fuels is one of our engagements.	Isabelle		
tm_x55ewcgg9frwtd6l		Here, Isabelle took the time to study the benefits and costs linked to the strategic goals of the association !	APPRENANT		
tm_a7dwlwn7m1iksffr		I see you thought about every aspect. With these selling points, I'm OK for a 4000€ budget.	Hubert		
tm_ktgy3s250vnzwjme		So let's go ! You have six months, motivating isn't it ?	Hubert		
tm_7n0uuz3giqy28m05		Can the project start like that ? Do we have enough data to go ahead ?	APPRENANT		
tm_nxdbb9gss1cqojcd	We have to go through a new go/no-go step to get more precise border, some clear objectives and success criteria, consult all involved parties, define constraints and major risks, and to getan initial planification who identifies the expected deliverables, and the required activities to  produce them. For each activity, we also need to identify the required human resources and their availability. We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case.	"We have to go through a new go/no-go step to get more precise borders, some clear objectives and success criteria, consulting all involved parties, defined constraints and major risks, and an initial planification who identifies the expected deliverables, and the required activities to  produce them.

For each activity, we also need to identify the required human resources and their availability.

We also need to think about material resources associated with each activity. In a nutshell, we need a heap of elements to determine if the project is really doable, and to guarantee a success if it's the case."	APPRENANT		
tm_55fco564okz8eru7	These aspects will be developed in the Project Management class of your first year.	These aspects will be developed in the <b>Project Management</b> class of your first year.	APPRENANT		
tm_jdeyvdtc1jczpd7y		Sorry to curb your enthousiasm Hubert, I have a job to do.	Isabelle		
tm_kray55a7gryuiyio		Before starting, I also have a mission and a journey to Pali Wani to plan.	Isabelle		
tm_4qd1eooy4wd5m7rq		No problem, I'll send Magali instead. The drone project is a lot more urgent to me.	Hubert		
tm_dy3lh5o9nty0epg1		OK, but before starting, I'll have to make a more precise planification for the project, with clear goals and limits.	Isabelle		
tm_01i5cc9v5da0bixa		Then, you could decide if we go forward or not.	Isabelle		
tm_xvysfzrnjww3mwzf		And in the case we proceed forward, you'll need to name me responsible for that project so that everyone understands more clearly what's my role.	Isabelle		
tm_u2tjdvwu0ttn3g87		Moreover, I'd like to ask our system's engineer Marc Aurile to participate as soon as possible so that he could help me in the planification of the project.	Isabelle		
tm_enxxtudgz48fy73n		How many demands do you have ?	Hubert		
tm_tt75npzegug6oe39		Don't you also want an office with a coffee machine ?	Hubert		
tm_h0zvz2snesdz3v4l		I was thinking about it, but Marc Aurile will do just fine.	Isabelle		
tm_wqjnpbnsjk2mvr8l		OK, OK, fine. I'll tell him to come help you tomorrow morning.	Hubert		
tm_0hqrwnjzczzg7xmo		How much time do you need  to run this initial planifiaction phase ?	Hubert		
tm_1vsls6at6luvzkw2		Three weeks.	Isabelle		
