FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_8pshh05x7awu6vbx		Depuis plusieurs années, la croix rouge organise des tournées mensuelles pour alimenter les dispensaires de la région de Nairobi en médicaments. Cette tournée est parfois hasardeuse notamment près du village de Ramatowa qui est souvent en conflit avec le village voisin de Pazimanga.	APPRENANT		
tm_h8nmxqv19ldt9w6x	Il se trouve que ce village se situe de l'autre côté de la rivière où le dispensaire qui le précède se situe. Le camion de la Croix Rouge doit alors remonter 30 km vers le nord jusqu'au prochain pont et redescendre le long de la rivière pour joindre le village de Ramatowa. Une fois les médicaments distribués, le camion revient au pont situé 30 km en amont et continue sa tournée vers l'ouest.	"Il se trouve que ce village se situe de l'autre côté de la rivière où le dispensaire qui le précède, Balamowi, se situe. Le camion de la Croix Rouge doit alors remonter 30 km vers le nord jusqu'au prochain pont et redescendre le long de la rivière pour joindre le village de Ramatowa. 
Une fois les médicaments distribués, le camion revient au pont situé 30 km en amont et continue sa tournée vers l'ouest."	APPRENANT		
tm_bvbli8psn9emqnwh	Cette année, le directeur de la Croix  Rouge local, Hubert Gramont se pose la question de comment optimiser cette tournée pour à la fois diminuer les risques d'agression et éviter ce long détour. La solution retenue serait d'utiliser des drones capables de supporter une charge d'un ou deux kilos et de traverser la rivière avec le médicaments. Les membres du dispensaires de Ramatowa pourraient alors récupérer les médicaments de l'autre côté de la rivière. Il souhaite confier ce projet à Isabelle Boucicaut qui connait bien la topologie des lieux et les habitants de chaque village et qui de plus a une plus large expérience de la conduite de projets humanitaires.	"Cette année, le directeur de la Croix  Rouge local, Hubert Gramont se pose la question de comment optimiser cette tournée pour à la fois diminuer les risques d'agression et éviter ce long détour. La solution retenue serait d'utiliser des drones capables de supporter une charge d'un ou deux kilos et de traverser la rivière avec le médicaments. 
Les membres du dispensaires de Ramatowa pourraient alors récupérer les médicaments de l'autre côté de la rivière. Il souhaite confier ce projet à Isabelle Boucicaut qui connait bien la topologie des lieux et les habitants de chaque village et qui de plus a une plus large expérience de la conduite de projets humanitaires."	APPRENANT		
tm_bty7ecxt7x6nh44d		Selon vous, les arguments d'Hubert sont-ils suffisants ? Isabelle a-t-elle tort d'insister ?	APPRENANT		
tm_4tcdn1xw7otjl43c	Dans tout projet, une étude coût bénéfice doit être menée avec sérieux. En effet, même si les bénéfices attendus semblent être évidents au premier abord, il faut donner des chiffres plus précis sur les gains et les coûts, étudier les stratégies de réalisation, étudier les contre-bénéfices éventuels et surtout considérer que les bénéfices et contre-bénéfices ne sont pas toujours liés à l'aspect financiers. Ils doivent être reliés aux enjeux stratégiques de l'entreprise.	"Dans tout projet, une étude coût bénéfice doit être menée avec sérieux. 

En effet, même si les bénéfices attendus semblent être évidents au premier abord, il faut donner des chiffres plus précis sur les gains et les coûts, étudier les stratégies de réalisation, étudier les contre-bénéfices éventuels et surtout considérer que les bénéfices et contre-bénéfices ne sont pas toujours liés à l'aspect financiers. Ils doivent être reliés aux enjeux stratégiques de l'entreprise."	APPRENANT		
tm_6hugeluxlg0tfktv	Tout ceci est expliqué dans les cours de Management de Projet que vous suivrez en première et deuxième année.	Tout ceci est expliqué dans les cours de <b>Management de Projet</b> que vous suivrez en première et deuxième année.	APPRENANT		
tm_cl1p6mj12o9tvp7y	Dans tout projet, une étude coût bénéfice doit être menée avec sérieux. En effet, même si les bénéfices attendus semblent être évidents au premier abord, il faut donner des chiffres plus précis sur les gains et les coûts, étudier les stratégies de réalisation, étudier les contre-bénéfices éventuels et surtout considérer que les bénéfices et contre-bénéfices ne sont pas toujours liés à l'aspect financiers. Ils doivent être reliés aux enjeux stratégiques de l'entreprise.	"Dans tout projet, une étude coût bénéfice doit être menée avec sérieux. 

En effet, même si les bénéfices attendus semblent être évidents au premier abord, il faut donner des chiffres plus précis sur les gains et les coûts, étudier les stratégies de réalisation, étudier les contre-bénéfices éventuels et surtout considérer que les bénéfices et contre-bénéfices ne sont pas toujours liés à l'aspect financiers. Ils doivent être reliés aux enjeux stratégiques de l'entreprise."	APPRENANT		
tm_x55ewcgg9frwtd6l		Ici, Isabelle a bien pris le temps d'étudier les bénéfices et contre-bénéfices liés aux axes stratégiques de l'association.	APPRENANT		
tm_7n0uuz3giqy28m05		Le projet peut-il commencer de cette façon là ? A-t-on maintenant suffisamment de données pour le lancer ?	APPRENANT		
tm_nxdbb9gss1cqojcd	En effet, il faut passer par une nouvelle étape de Go/No-Go avec un cadrage plus précis, des objectifs et des critères de succès clairs, la consultation des parties prenantes, les contraintes et risques majeurs, une planification initiale qui identifie les livrables attendus et les activités pour les produire. Pour chaque activité, il faut aussi penser aux ressources humaines et leurs disponibilités. Il faut aussi penser aux ressources matérielles associées à chaque activité. Bref, tout un tas d'éléments pour établir la réelle faisabilité du projet et garantir son succès.	"En effet, il faut passer par une nouvelle étape de Go/No-Go avec un cadrage plus précis, des objectifs et des critères de succès clairs, la consultation des parties prenantes, les contraintes et risques majeurs, une planification initiale qui identifie les livrables attendus et les activités pour les produire.

Pour chaque activité, il faut aussi penser aux ressources humaines et leurs disponibilités. 

Il faut aussi penser aux ressources matérielles associées à chaque activité. Bref, tout un tas d'éléments pour établir la réelle faisabilité du projet et garantir son succès."	APPRENANT		
