FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_swcnf9j47qgnftcl		Dans ce cas, ne peut-on pas aussi préciser le poids maximum du paquet de médicaments à transporter ?	John		
tm_sy0xo8preervsko5		Oui. On devra vérifier avec l'équipe de tournée, mais ça me paraît raisonnable.	John		
tm_7m694au5kmcwwyyx		"Peut-être que le pilote ne sera pas chargé de mettre les médicaments dans le drone. Il faudrait peut-être identifier un responsable côté ""équipe de tournée"" ?"	John		
tm_0bmr6pyns6wucmxb		La rivière pourrait avoir une influence, mais si tout va bien, elle ne devrait pas interagir !	John		
tm_lqeym32ideu7eyau		Ben, pour le pilote c'est évident. C'est lui qui guide le drone vers l'autre rive.	John		
tm_qgt576j4x2rz7gwg		Euh, d'une télécommande ?	John		
tm_t36iub1wzj4jdamj		Oui, mais notre système va-t-il bien obéir aux ordres émis ?	John		
tm_07kfaapxervkvsca		Et bien, il va falloir les déplacer ces médicaments. Ça me semble être une fonction principale !	John		
tm_v9h2rpog5tbrrdja		Effectivement, nous devrions assurer la protection des médicaments et de l'électronique.	John		
tm_ecwm4w5lc1fas47k		L'eau ne doit en aucun cas rentrer en contact avec ces éléments.	John		
tm_3yv72mim21pr82nj		La télécommande me fait penser à quelque chose d'autre :	John		
tm_hin1kvkzr5pgefh0		La dernière fois que j'ai essayé de bricoler un circuit téléguidé, mon système captait des signaux émis par un autre émetteur, et se comportait de manière aléatoire.	John		
tm_qi1am9qzp3byz0i8		Dis-moi Marc, ça fait une heure que je réfléchis à notre étude de sécurité et au moyen pour le drone de résister à une chute dans la rivière.	John		
tm_qos6lknnsy7s5i1d		Et là, tout d’un coup, j’ai eu une idée.	John		
tm_kcilhlw7mkr7962m		On pourrait imaginer une sorte d’airbag pour drone.	John		
tm_wdh3aq6mutj3dyu7		Un truc spécialement conçu pour qu’à partir d’une certaine accélération verticale et en l’absence de toute commande, il se déclenche avant le choc et protège à la fois les médicaments et le drone !	John		
tm_ybcktlf0nda12y6g		Je me suis même dit que cela pourrait prendre la forme d’un ballon accroché sous le drone.	John		
tm_uyih2jgwdcxttvvo		Il s’ouvrirait dans les conditions précédentes, et prendrait la forme d’un parapluie renversé.	John		
tm_j4rror8n3jh6zpu3		Je suis sûr que cela n’existe pas encore. On pourrait même déposer un brevet.	John		
tm_4ixnl3mnfnq1ga74		OK, Marc ! Je vais suivre ton conseil.	John		
tm_92t21hyplvono4tk		J’ai regardé un peu sur internet et je n’ai rien trouvé.	John		
tm_dcz25eqppltg20vf		Et si effectivement, je ne trouve rien ?	John		
tm_gn7jyocc7uzekq5q		C'est-à-dire ?	John		
tm_9sydqu7kdwyv3w72		Euh, c’est vrai, c’est vrai, mais l’idée me paraissait tellement bonne…	John		
tm_wo6zkwdfvbybep4j		Mais d’un autre côté, c'est vrai qu'un brevet coûte un peu cher...	John		
tm_gw9p0isu609jielc		Je vais y réfléchir...	John		
