FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_m1rovwlvkvfru350		Oui, je vois très bien.	Isabelle		
tm_1ggmq07a0j9me108		Dommage qu'il n'y ait pas de pont plus près !	Isabelle		
tm_ihhkffd5knflmlbm			Isabelle		
tm_jm7kyh5hdal998kk		Oui, l'idée est alléchante. Mais peut-être devrions nous étudier plus en détail les coûts et les bénéfices d'une telle opération ?	Isabelle		
tm_ji6toe2v231n6are		Oui, tu as raison.	Isabelle		
tm_xvw2hvo8054mp24z		Mais permets moi d'insister. Je vais approfondir un peu ton idée.	Isabelle		
tm_nj0q5y8oxpzpl2m7		Ça marche. Mercredi, à 10h après le briefing d'équipe ?	Isabelle		
tm_21wqgd00wt4ntbza		Bonne journée !	Isabelle		
tm_5d2jgott7qo4nvjf		Bon, j'ai bien réfléchi à ton idée.	Isabelle		
tm_hb49xuxp2jmllz59		Et j'ai chiffré plus en détail les coûts et bénéfices.	Isabelle		
tm_bdxwdpi9oz3ce2d2		Dans les coûts, tu sembles avoir oublié l'aspect des batteries à recharger pour les drones.	Isabelle		
tm_i5khbj6vkl61300d		Ainsi que le temps qu'il faudra pour acheminer les 8 kilos de médicaments d'un côté à l'autre de la rivière. Si chaque drone peut porter deux kilos de médicaments, il faudra faire au moins deux aller-retours, soit une bonne vingtaine de minutes, le temps de charger et de décharger les médicaments.	Isabelle		
tm_m44kqc5ivyx1i1j3		Le gain de temps et le gain financier sont donc à diminuer légèrement.	Isabelle		
tm_j9zdghbl5w76sv00		Oui, mais les coûts de développement seront sans doute plus élevés, car nous souhaitons construire nos propres drones, pour pouvoir les réparer facilement, et le moins souvent possible.	Isabelle		
tm_os94gwg1zloi1ulm		Et il nous faudra sans doute un drone de spare. Il faudra aussi former le personnel de la tournée.	Isabelle		
tm_v9s9w6uazy90f9e1		Bref, je pense que le budget nécessaire est d'au moins 4000€, comme indiqué dans les documents que je t'ai imprimés.	Isabelle		
tm_5dom4v1gom162o7w		Et du coup, ne pas escompter de bénéfices financiers avant 3 ou 4 ans.	Isabelle		
tm_w3r4tvl9b4rzu64k		Le bénéfice financier ne doit pas être notre priorité.	Isabelle		
tm_vx19wlzbis9ppy09		En revanche, il y a un bénéfice dont on n'a pas encore parlé et qui m'intéresse car il est lié à nos valeurs et au bien-être de notre personnel.	Isabelle		
tm_b6ze0c3qq3omo6z0		Cette tournée est fatigante, et à chaque fois, tout le monde revient épuisé.	Isabelle		
tm_be90wkgvch92cmgl		Gagner deux heures de tape-cul en moins, ça c'est un gain évident !	Isabelle		
tm_ltrrj9n1ggrfp7av		Et puis, il y a aussi l'aspect écologique : consommer moins d'énergies fossiles est un de nos engagements.	Isabelle		
tm_jdeyvdtc1jczpd7y		Hubert, permets-moi de freiner ton enthousiasme.	Isabelle		
tm_kray55a7gryuiyio		Avant de commencer, je te rappelle que j'ai un métier et que j'avais prévu une tournée du côté de Pani Wani.	Isabelle		
tm_dy3lh5o9nty0epg1		D'accord, mais avant de commencer, je te propose de faire un cadrage plus précis du projet.	Isabelle		
tm_01i5cc9v5da0bixa		Ensuite, tu décideras si on y va ou non.	Isabelle		
tm_xvysfzrnjww3mwzf		D'ailleurs, si on y va, tu devra me nommer responsable de ce projet afin que tous ceux qui sont concernés comprennent mon intervention.	Isabelle		
tm_u2tjdvwu0ttn3g87		De plus, j'aimerais pouvoir impliquer dès maintenant notre ingénieur système, Marc Aurile pour qu'il m'accompagne dans le cadrage et la planification initiale.	Isabelle		
tm_h0zvz2snesdz3v4l		J'y pense, mais Marc Aurile suffira.	Isabelle		
tm_1vsls6at6luvzkw2		Trois semaines.	Isabelle		
tm_0dv8facxttk5468p		Oui, j'en ai vraiment besoin. Je n'y connais pas grand-chose en drones et Marc va devoir s'investir.	Isabelle		
tm_b70gjg8rplobpdzq		Et que va-t-on inclure réellement dans ce projet ? Doit-on y inclure la formation de deux ou trois pilotes ? Le drone devra-t-il porter tout type de médicaments ?	Isabelle		
tm_6lns5mmiv10jluep		Je dois aussi étudier les gros risques liés à ce projet. Qu'est ce qui pourrait nous empêcher de tenir les délais, de rester dans le budget que tu viens de m'allouer ? Qu'est ce qui pourrait impacter la qualité du service que l'on veut mettre en place ?	Isabelle		
tm_tkprvv6ce8tx0kcq		Je t'assure, tu penses que je perd du temps mais tu verras, à terme, je vais t'en faire gagner un max.	Isabelle		
tm_1syz3og4grjf2x7w		Bonjour Marc, Hubert a dû te parler de notre projet de drone pour transporter des médicaments de Bamalowi à Ramatowa ?	Isabelle		
tm_0idu5l5uge9hsct8		J'en conviens, mais je pense que c'est faisable.	Isabelle		
tm_m8qdmxaf610hbokv		Qu'en penses-tu ?	Isabelle		
tm_796ctu3zzecl35k6		Et bien, pour cela, je compte sur toi !	Isabelle		
tm_zet6h68og6v7cx9l		Et je te propose d'ailleurs que nous partagions les activités de départ sur le cahier des charges. Est-ce compatible avec ta charge de travail actuelle, et te sens-tu motivé pour cela ?	Isabelle		
tm_lphgkth2zjsjz65l		Super !	Isabelle		
tm_qq2sulp0txy8s14w		Dans ce cas, je propose que tu commence l'analyse fonctionnelle du système pour définir les fonctions principales et anticiper les gros problèmes de faisabilité ou de coût.	Isabelle		
tm_aeqg4g6vd5uaan7b		De mon côté, je vais approfondir le besoin et réaliser des interviews auprès des parties prenantes : les villages concernés et l'équipe qui effectue cette tournée.	Isabelle		
tm_no3yu1ix2mzb8lgc		Nous sommes le 27 avril, on se fait un point lundi 10 mai à 9h dans mon bureau ?	Isabelle		
tm_5u4e8rdig367ysyp		14 heures ?	Isabelle		
tm_medlm5vl4kg1znyo		Merci Marc. Bonne journée !	Isabelle		
tm_1yely4z56511i9lv		Bonjour Nurumbé, comment vas-tu ?	Isabelle		
tm_41vq0dyuk68uynqc		J’en suis enchantée.	Isabelle		
tm_jodzt98a11jlr3jl		Oui, je le reconnais	Isabelle		
tm_9ktzrkb82jpwlorg		Je viens te voir pour discuter d'une nouvelle façon d'organiser notre tournée.	Isabelle		
tm_cisvcrnz09p5uqt1		Oui, et cela continuera.	Isabelle		
tm_75b77vodcuvryiw3		C'est plus sur la façon de te livrer les médicaments que je souhaiterais discuter.	Isabelle		
tm_fcnem5h8axx1ao93		Tu sais, à chaque fois, l'équipe est obligée de remonter à partir de Bamalowi jusqu'au pont de Bisotu pour redscendre à ton village.	Isabelle		
tm_43bpgciftwfr7s6b		Hubert a pensé à une nouvelle façon de procéder pour vous livrer :	Isabelle		
