FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_ey24jrbkfsv7oge8		Oui, une idée très originale.	Marc		
tm_surarrnstpkhn88z		Cela ne m'étonne pas d'Hubert. Il est toujours en train de chercher des projets innovants pour améliorer nos tournées.	Marc		
tm_fwu18m465kz3z8ck		Mais je dois dire que là, c'est pas banal !	Marc		
tm_uhou15z01gb7zfov		Tout est faisable, à condition qu'on y mette les moyens !	Marc		
tm_2nhzrhsvzhuzngcu		Et que l'on applique des bons principes d'ingénierie pour construire ce nouveau système !	Marc		
tm_j1jzaowvjr5xq3eh		Je suis pris toute cette semaine.	Marc		
tm_xlycpf1042ddtn9u		Mais la semaine prochaine, j'ai trois jours de libre.	Marc		
tm_siyqvsiksvpefvbs		Et oui, cela me motive bien de travailler sur un drone au service des villages.	Marc		
tm_globk1kfojzh73z6		Lundi matin, j'ai réunion d'équipe.	Marc		
tm_yaflwo7bqtuxal5c		Mais OK pour l'après midi !	Marc		
tm_y7miusnjd698ite5		Ça marche !	Marc		
tm_v4qaylbohlht85ii		Bonne journée à toi aussi !	Marc		
tm_b18s16oyuwskcdi4		Bon, les enfants, avant tout, il faut qu'on délimite notre système.	Marc		
tm_8mfewpn3gykq9m9k		Avec quoi va-t-il interagir et que va-t-on intégrer comme mission principale ?	Marc		
tm_zgn6xneves8smg2z		Cela me paraît bien, mais je pense que l'on peut être un peu plus précis sur la distance à parcourir.	Marc		
tm_eph5ztzl5xamizds		J'ai regardé sur Google Maps, le largeur de la rivière près de Pamalowi est d'environ 800m. On peut donc se fixer 1km.	Marc		
tm_gk7gytvstm8fp5fa		Tu as tout à fait raison, ces deux éléments dimensionnent énormément le système.	Marc		
tm_yuin9uij2edgy63d		On part sur un kilogramme ?	Marc		
tm_e6axa099gxc1j2ey		Notre mission sera donc :	Marc		
tm_v6oqfyuw9wanh374	"    ""Transporter par la voie des airs un kilogramme de médicaments sur une distance d'un kilomètre"""	"    ""<b>Transporter par la voie des airs un kilogramme de médicaments sur une distance d'un kilomètre</b>"""	Marc		
tm_kgtg7bc668b193fi		Est-ce que cela vous va ?	Marc		
tm_nr15bcldmt4xmmrd		Passons maintenant aux limites de notre système.	Marc		
tm_6mw90t5hkp2pgt41		Avec quoi et qui va-t-il interagir ?	Marc		
tm_cz668fj0ycev99t1		Cela nous permettra d'en définir les fonctions principales et les fonctions contraintes.	Marc		
tm_2ne8wde70aakwe53		Oui, encore que j'ai un doute sur l'interaction directe avec le pilote, mais on y reviendra.	Marc		
tm_vacn9ud3y44ri6hd		Oui, cela me paraît être une bonne idée.	Marc		
tm_zwbxezezkyhr7ne5		Bon, je crois qu'on a fait le tour des acteurs que le système mets en relation.	Marc		
tm_2ir0qujkvj7ssai8		Voyez vous des acteurs qui imposent des contraintes ?	Marc		
tm_z9rx99en6iqjpf23		À approfondir. Quoi d'autre ?	Marc		
tm_l8sn3k6jil9oyxsc		Il faudra creuser ça lors des études de sécurité. Bon, je pense que nous avons fait le tour des acteurs.	Marc		
tm_fxwag987ngvh1kon		Je rajouterai le relief du champ de décollage car il joue un rôle important lors de cette phase avec les effets de sol quand les hélices commencent à tourner.	Marc		
tm_dck7mk1uamjvkieq		Revenons à tous ces acteurs et voyons comment ils interagissent avec le système.	Marc		
tm_oi1dkow9sxbcxum7		Est-ce si évident que cela ? De quoi va-t-il avoir besoin pour le guider ?	Marc		
tm_k2wraqabecunt6ob		C'est là le problème ! Doit-on considérer la télécommande dans le système ?	Marc		
tm_m6ofuffwn5n45440		Dans ce cas, le pilote va effectivement interagir directement avec le système.	Marc		
tm_xxaxrirbwf1gqsee		Ou bien on exclut la télécommande du système, et dans ce cas, c'est cette télécommande qui interagira directement avec le système, et non le pilote !	Marc		
tm_h8gnezoyf6xfpdyy		Et bien, pour des raisons de coût, de compétence et de souplesse vis à vis du pilote.	Marc		
tm_hqvyl2rpru442hgm		Je ne souhaite pas être responsable de la partie guidage sol.	Marc		
tm_et88ram9d54phpxp		Aujourd'hui, on trouve des émetteurs radio très bon marché avec une une très bonne portée sur Internet.	Marc		
tm_dl33ii6yjhrca289		Nous n'avons pas les compétences réelles pour développer cet émetteurs, et de plus, cela nous reviendra beaucoup plus cher en terme de développement et mise au point pour un résultat de moins bonnes qualité.	Marc		
tm_r1r0kaz1ub9bz2ty		Bon, nous pourrions considérer que cet élément est sous-traité, et que nous ne nous en occupons pas, mais dans ce cas, nous devenons tributaires du fournisseur.	Marc		
tm_avuikhybhwgypfxd		De plus, l'avantage de laisser l'émetteur en dehors du système est de laisser le pilote choisir sa télécommande et la configurer comme il veut.	Marc		
tm_k9rv6ttpsrhde8y4		Très bonne remarque !	Marc		
tm_akvazm0c1abf0hqq		Heureusement, aujourd'hui, les émetteurs vendus sont fournis avec un petit boitier récepteur à placer dans le drone.	Marc		
tm_3fxy5kkk2bnufzqd		Il nous suffit de définir les types de récepteurs avec lesquels nous seront compatibles et le tour est joué !	Marc		
tm_ivvmhn2yg3hl0m8i		Effectivement, encore une bonne remarque, Matilde !	Marc		
tm_yi0c7sbwhwrebwmw		Notre système devra prévoir une fonction de calibration pour s'adapter à la plage des signaux émis.	Marc		
tm_6xirmf35p59cn0lx		Bon, nous avons déjà deux fonctions principales du système :	Marc		
tm_rjc16n1x42rxx09q	"FP1 : ""Interpréter les signaux de guidage émis par la télécommande pour se déplacer dans l'air."""	"FP1 : ""<b>Interpréter les signaux de guidage émis par la télécommande pour se déplacer dans l'air.</b>"""	Marc		
tm_wgabtat370um1iba	"et FP2 : ""Calibrer la plage des signaux pour les adapter à la plage de manœuvre maximale."""	"et FP2 : ""<b>Calibrer la plage des signaux pour les adapter à la plage de manœuvre maximale.</b>"""	Marc		
tm_st6o4h4rc1zguw7j		Quoique, FP2 devrait plutôt s'appeler FC1, c'est plutôt une fonction contrainte.	Marc		
tm_auw54g87li6ofhic		Parce qu'elle ne met en relation que l'émetteur et le système.	Marc		
tm_susw5qe9yuhkohg6		C'est plutôt une fonction contrainte là encore.	Marc		
tm_uzoypg6yx0epohr2		La contrainte étant de pouvoir soulever un kilogramme de médicaments !	Marc		
tm_fp32rpon3d2bihpe		OK, ça c'est une nouvelle fonction principale.	Marc		
tm_s752aba7yxq0ttk1	Donc FC2 : Soulever et déplacer un kilogramme de médicament qui met en relation le système avec les médicaments.	"Donc FC2 : ""<b>Soulever et déplacer un kilogramme de médicament</b>"" qui met en relation le système avec les médicaments."	Marc		
tm_6ymfgefm4l5ygp7n	"Et FP2 : ""Accrocher facilement un paquet de médicament"" qui lie le responsable ""équipe de tournée"" et les médicaments à travers le système."	"Et FP2 : ""<b>Accrocher facilement un paquet de médicament</b>"" qui lie le responsable ""équipe de tournée"" et les médicaments à travers le système."	Marc		
tm_bu44heucrktwbfbr		On pourrait peut-être commencer à dessiner notre pieuvre ?	Marc		
tm_ljk2ijrvq831dm7w		Nous avons défini deux fonctions principales et deux fonctions contraintes.	Marc		
tm_hjf9m6niriu4u7p5	La première fonction principale est Se déplacer dans l'air en suivant les ordres de la télécommande.	La première fonction principale est : <b>Se déplacer dans l'air en suivant les ordres de la télécommande</b>.	Marc		
tm_aolynwy1f24r01yu	La deuxième est : permettre au responsable du village de départ un accrochage sûr et rapide du paquet de médicament.	La deuxième est : <b>Permettre au responsable du village de départ un accrochage sûr et rapide du paquet de médicament</b>.	Marc		
tm_777jq4eovtlsmy7o	Et nous avons trouvé deux contraintes : Pouvoir se calibrer sur la fréquence de la télécommande, et Être capable de soulever 1 kg de médicaments.	Et nous avons trouvé deux contraintes : <b>Pouvoir se calibrer sur la fréquence de la télécommande</b>, et <b>Être capable de soulever 1 kg de médicaments</b>.	Marc		
tm_r6wcks027d5732hu		Nous allons rajouter ces trois fonctions.	Marc		
tm_g6umqzxwhqk4vni7		La précision est justement un critère de valeur pour la fonction FP1.	Marc		
tm_4eg03on0nfc47gnb		Je vais la rajouter.	Marc		
tm_7f42nk4sjoebfwi5		D'autres points ?	Marc		
tm_kdoblejvg4ghg774		Bon, bon... Dans ce cas, je retourne à mon analyse.	Marc		
tm_m6c3aijdi2fkij68		Penses-tu que nous devons conduire des études de sécurité ?	Marc		
tm_7u7nnzzwwiuzde7f		Oui, tu as peut-être raison.	Marc		
tm_34adt9cct4rh0802		OK, on laisse tomber	Marc		
tm_4cv77sv5wtrsj56n		Permets moi d’insister quand même.	Marc		
tm_q7ggaa0c8k5kytlq		Le drone va nous coûter sans doute plus de 2000€, et si on peut éviter de l’endommager grâce à une petite étude de sécurité, je pense que cela peut valoir la peine.	Marc		
tm_bjhrivmkmaxgelxl		On se limitera à traiter uniquement les évènements les plus critiques.	Marc		
tm_ktjol3hwip9827hf		Qu’en penses-tu ?	Marc		
tm_evi5bwcy1p3ooe19		Bon, je vais m’y lancer.	Marc		
tm_8fjue8y0iqx8agay		Bien, nous avons identifié quelques fonctions principales et contrainte du système.	Marc		
tm_nl8d1enog9zsmlsb		Maintenant essayons de nous focaliser sur l’étude de sécurité et identifier les acteurs susceptibles d’en créer.	Marc		
tm_qivyh67gf12huste		La rivière avait été listée plus tôt, je crois que ça vaudrait le coup de creuser cette idée.	Marc		
tm_mjxgaetwb2z3cnz9		Je suis d'accord avec toi !	Marc		
tm_ous5bxcwfqx9y9xl		Cela nous ajoute une contrainte et une fonction principale.	Marc		
tm_8n1rdxe4q8iqyawo		Pas si vite. Cela nous ajoute deux contraintes supplémentaires :	Marc		
tm_pni1nzwh02fwuol8	Résister à une chute de moins de 5m et Être fonctionnel même en cas d'interférence radio ou de brouillage.	<b>Résister à une chute de moins de 5m</b> et <b>Être fonctionnel même en cas d'interférence radio ou de brouillage</b>.	Marc		
tm_18al15a0lpuykm48	Je vais rajouter une autre contrainte vis-à-vis des batteries : Gérer le niveau d'énergie.	Je vais rajouter une autre contrainte vis-à-vis des batteries : <b>Gérer le niveau d'énergie.</b>	Marc		
tm_kx4vn9gi3fidv7ib		 Il vaudrait mieux éviter de tomber en panne au milieu de la rivière.	Marc		
tm_bonxsivczgy7pxz3		Bon, Je pense que nous pouvons compléter notre diagramme.	Marc		
tm_tn8hsy95ovo8qqbp		Oui, nous avons identifié plusieurs évènements redoutés.	Marc		
tm_gdhcyzu8e3h0oi9g		Mais en réfléchissant, je me demandais si on ne devait pas s’interroger aussi sur les aspects de cybersécurité.	Marc		
tm_4cnfm25m3elaisc8		Et pourquoi pas ?	Marc		
tm_ler5y7ya30vo477s		Oui, pour n’avoir rien à me reprocher plus tard.	Marc		
tm_0dgj4pu3deikfcc7		Forcément, nous n’avons mis aucune protection contre des attaques malveillantes.	Marc		
tm_3k7bh5gb6v5eifg5		Même pas un petit cryptage de l’émission.	Marc		
tm_m2r5fbz9gzpcaubp		Du coup, n’importe quel hacker moyennement compétent peut prendre le contrôle de notre drone.	Marc		
tm_7b1qyl0bn70dia33		Je t’avais proposé de faire une petite étude de cybersécurité, mais tu as refusé catégoriquement.	Marc		
tm_a7k5y9md5r5uxa1f		Oui, le concept est intéressant.	Marc		
tm_bcgepyo81u4si4ik		Intéressant, intéressant...	Marc		
tm_qb699pfzkdri71e8		Oui, oui, oui.	Marc		
tm_c23csfco6odn7fe9		Écoute, John, je ne souhaite pas que tu perdes trop de temps sur ce sujet, mais je te propose d’aller voir Marjorie.	Marc		
tm_x6fe8bqi29eq0a4m		Elle est notre responsable sur toutes les questions de législation et de protection juridique.	Marc		
tm_3nzb9aa5wkikri5v		Raconte-lui ta trouvaille. OK ?	Marc		
tm_bso1msrbdh42ts1r		Bonjour à tous !	Marc		
tm_6d7doktagkm8eszj		Nous avons travaillé dur pour sortir un résultat rapidement.	Marc		
tm_qy5qvycn2kok4mjg		Je vais vous projeter un schéma récapitulant l’ensemble fonctionnel que nous pourrions retenir pour le drone.	Marc		
tm_x3i3stedvtf7fpyj		Cet ensemble fonctionnel a pris en compte plusieurs analyses, et notamment les résultats de nos analyses de sécurité, cybersécurité, impact sur l’environnement ainsi que le recueil de besoins auprès des parties prenantes.	Marc		
tm_fkddoj8rmlp3kfgj		Comme vous le voyez sur le schéma, le résultat est une pieuvre de 15 fonctions.	Marc		
