FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_8pshh05x7awu6vbx		Depuis plusieurs années, la croix rouge organise des tournées mensuelles pour alimenter les dispensaires de la région de Nairobi en médicaments. Cette tournée est parfois hasardeuse notamment près du village de Ramatowa qui est souvent en conflit avec le village voisin de Pazimanga.	APPRENANT		
tm_h8nmxqv19ldt9w6x	Il se trouve que ce village se situe de l'autre côté de la rivière où le dispensaire qui le précède se situe. Le camion de la Croix Rouge doit alors remonter 30 km vers le nord jusqu'au prochain pont et redescendre le long de la rivière pour joindre le village de Ramatowa. Une fois les médicaments distribués, le camion revient au pont situé 30 km en amont et continue sa tournée vers l'ouest.	"Il se trouve que ce village se situe de l'autre côté de la rivière où le dispensaire qui le précède, Balamowi, se situe. Le camion de la Croix Rouge doit alors remonter 30 km vers le nord jusqu'au prochain pont et redescendre le long de la rivière pour joindre le village de Ramatowa. 
Une fois les médicaments distribués, le camion revient au pont situé 30 km en amont et continue sa tournée vers l'ouest."	APPRENANT		
tm_bvbli8psn9emqnwh	Cette année, le directeur de la Croix  Rouge local, Hubert Gramont se pose la question de comment optimiser cette tournée pour à la fois diminuer les risques d'agression et éviter ce long détour. La solution retenue serait d'utiliser des drones capables de supporter une charge d'un ou deux kilos et de traverser la rivière avec le médicaments. Les membres du dispensaires de Ramatowa pourraient alors récupérer les médicaments de l'autre côté de la rivière. Il souhaite confier ce projet à Isabelle Boucicaut qui connait bien la topologie des lieux et les habitants de chaque village et qui de plus a une plus large expérience de la conduite de projets humanitaires.	"Cette année, le directeur de la Croix  Rouge local, Hubert Gramont se pose la question de comment optimiser cette tournée pour à la fois diminuer les risques d'agression et éviter ce long détour. La solution retenue serait d'utiliser des drones capables de supporter une charge d'un ou deux kilos et de traverser la rivière avec le médicaments. 
Les membres du dispensaires de Ramatowa pourraient alors récupérer les médicaments de l'autre côté de la rivière. Il souhaite confier ce projet à Isabelle Boucicaut qui connait bien la topologie des lieux et les habitants de chaque village et qui de plus a une plus large expérience de la conduite de projets humanitaires."	APPRENANT		
tm_r08tnwhvh7zdyrc1		Bonjour Isabelle, assieds-toi.	Hubert		
tm_8gre4kvtx68uyvr8		Je t'ai fait venir ici pour te confier une mission.	Hubert		
tm_0iz9d386lwju25kg	Tu sais, ce petit village de Ramatowa, qui nous oblige à faire un détour de 60 km, parce qu'il se situe de l'autre côté de la rivière de Bamalowi ?	Tu sais, ce petit village de Ramatowa qui nous oblige à faire un détour de 60 km parce qu'il se situe de l'autre côté de la rivière de Bamalowi ?	Hubert		
tm_m1rovwlvkvfru350		Oui, je vois très bien.	Isabelle		
tm_1ggmq07a0j9me108		Dommage qu'il n'y ait pas de pont plus près !	Isabelle		
tm_ihhkffd5knflmlbm			Isabelle		
tm_kw8v6qxjamy8iz92		Écoute, j'ai bien réfléchi et je pense que l'on peut améliorer la situation.	Hubert		
tm_uxo40zqarf2qr40h		Il suffirait de disposer d'un ou deux drones assez costauds qui nous permettraient  de faire franchir la rivière aux médicaments destinés à Ramatowa.	Hubert		
tm_hcflw54q7u0t65f5		Les gens du dispensaire les récupéreraient de l'autre côté de la rivière, et hop le tour est joué.	Hubert		
tm_vwg897irypadwy8r		T'imagines le gain en essence et en temps !!	Hubert		
tm_jm7kyh5hdal998kk		Oui, l'idée est alléchante. Mais peut-être devrions nous étudier plus en détail les coûts et les bénéfices d'une telle opération ?	Isabelle		
tm_y14j0y25cadef2hb		Mais Isabelle, les gains sont évidents !	Hubert		
tm_263scxnxazg6jev7		Le camion mets deux heures pour parcourir les 60 km car la piste est très difficile.	Hubert		
tm_4m5nlebk7yho4xqc	De plus, il consomme au moins 15 litres pour parcourir cette distance. Nous effectuons cette tournée douze fois dans l'année.	De plus, il consomme au moins 15 L  pour parcourir cette distance. Nous effectuons cette tournée douze fois dans l'année.	Hubert		
tm_wjb7ihwj75622sc5	Cela nous ferait économiser 180 litres d'essence, et l'essence est rare en brousse.	Cela nous ferait économiser 180 L d'essence, et l'essence est rare en brousse.	Hubert		
tm_nr1uvt4od3eei3br	180 litres ce n'est pas négligeable, ça nous ferait économiser plus de 2000€ par an. Si on construit deux drones à moins de 2000 € chacun, nous revenons dans nos frais en 2 ans.	180 L ce n'est pas négligeable, ça nous ferait économiser plus de 2000 € par an. Si on construit deux drones à moins de 2000 € chacun, nous revenons dans nos frais en 2 ans.	Hubert		
tm_ji6toe2v231n6are		Oui, tu as raison.	Isabelle		
tm_bty7ecxt7x6nh44d		Selon vous, les arguments d'Hubert sont-ils suffisants ? Isabelle a-t-elle tort d'insister ?	APPRENANT		
